identifier,file,description,title,creator,date,adaptive_ocr,better_pdf,mediatype,pinpoint,internet_archive
CBSA_A-2016-07582,atip-files/CBSA ATIPS/CBSA_A-2016-07582.pdf,"Briefing note from April 23, 2014 to update the President of the Canada Border Services Agency on the use of predictive analytics for pre-arrival risk assessment in the traveler stream, file number CBSA/ASFC-15-01905.

Note d'information du 23 avril 2014 pour renseigner le président de l'Agence des services frontaliers du Canada sur l'utilisation de l'analytique prédictive pour l'évaluation des risques avant l'arrivée dans la filière des voyageurs, dossier numéro CBSA/ASFC-15-01905.",A-2016-07582,Canada Border Services Agency | Agence des services frontaliers du Canada,2017-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-08927,atip-files/CBSA ATIPS/CBSA_A-2016-08927.pdf,"Records from April 1, 2015 to July 4, 2016 circulated to senior Canada Border Services Agency (CBSA) officials concerning information-sharing with foreign entities involving substantial risk of mistreatment pursuant to the terms of the Ministerial direction to the CBSA on Information Sharing with Foreign Entities.

Documents couvrant la période qui s’étend du 1eravril 2015 au 4 juillet 2016, qui ont été transmis aux hauts responsables de l’Agence des services frontaliers du Canada (ASFC) concernant l’échange d’information avec des entités étrangères qui comprend un risque important de mauvais traitements conformément à l’orientation ministérielle à l’intention de l’ASFC sur l’échange d’information avec des entités étrangères.",A-2016-08927,Canada Border Services Agency | Agence des services frontaliers du Canada,2017-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-10066,atip-files/CBSA ATIPS/CBSA_A-2016-10066.pdf,"Records from January 1, 2010 to July 25, 2016, including briefing notes, policies, directives, studies or reports relating to the removal of individuals from Canada to the Democratic Republic of the Congo (DRC). This includes any follow-up on those removed by the Canada Border Services Agency, the assistance provided on arrival at the DRC airport and whether those removed were detained by Congolese authorities upon arrival.

Documents du 1er janvier 2010 au 25 juillet 2016, y compris les notes d’information, les politiques, les directives, les études ou les rapports concernant le renvoi de personnes du Canada vers la République démocratique du Congo (RDC). Cela comprend tout suivi des personnes qui ont été renvoyées par l’Agence des services frontaliers du Canada, l’assistance fournie à leur arrivée à l’aéroport de la RDC et la question de savoir si les personnes renvoyées ont été détenues par les autorités congolaises à leur arrivée.",A-2016-10066,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-08,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-10155,atip-files/CBSA ATIPS/CBSA_A-2016-10155.pdf,"The following Briefing Notes: 15-03211 - Audit by the Office of the Privacy Commissioner: Privacy and Portable Storage Devices; 15-05439 - Initial of Interchange Canada Assignment of Conway Griddell-Gray; 15-05470 - Issues Impacting The Minister's Riding; 15-05516 - High Profile Cases; 15-05693 – Temporary suspensions of removals Update: Haiti and Zimbabwe; 15-05727 - Recognition Event Marking the Decommissioning of the Field Operations Support System Package; 15-05805 - PO Tasking: Update on Van Heest Case; 15-05841 - Request for Canadian Armed Forces Assistance for Irregular Marine Arrivals; 16-00263 – Memorandum of Understanding between Immigration, Refugees and Citizenship Canada , the Canada Border Services Agency and the Immigration and Refugee Board of Canada; BN-16-00133 - National Criminal Investigations Workshop; and 16-00318 - Shared Services Canada Aging Infrastructure Letter and Briefing Note.

Les notes d’information suivantes : 15-03211 – Rapport de vérification du Bureau du commissaire à la protection de la vie privée : Protection de la vie privée et dispositifs de stockage portables; – 15-05439 – Paraphe de l’affectation de Conway Griddell-Gray dans le cadre du programme Échanges Canada; 15-05470, – Questions touchant la circonscription du ministre; 15-05516 – Cas très médiatisés; 15-05693 – Mise à jour au sujet des suspensions temporaires des renvois : Haïti et Zimbabwe; 15-05727 – Évènement de reconnaissance soulignant la mise hors service du progiciel du système de soutien des opérations des bureaux locaux; 15-05805 – Attribution de commandes du BP : Le point sur l’affaire Van Heest; 15-05841 – Demande d’assistance des Forces armées canadiennes pour l’afflux d’arrivée irrégulière par la voie maritime; 16-00263 – Protocole d’entente entre Immigration, Réfugiés et Citoyenneté Canada, l’Agence des services frontaliers du Canada et la Commission de l’immigration et du statut de réfugié du Canada; BN-16-00133 – Atelier national sur les enquêtes criminelles; 16-00318 – Lettre et notes d’information de Services partagés Canada sur les infrastructures vieillissantes.",A-2016-10155,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-11808,atip-files/CBSA ATIPS/CBSA_A-2016-11808.pdf,"Briefing materials provided to the President of the Canada Border Services Agency: 16-02611 - Deck for Minister's Briefing on June 03, 2016, National Security Related Ministerial Directives; 16-02657 -Preclearance Legislation Briefing Binder; 16-02748 – Deputy Minister Conference call with the Chief Human Resources officer on June 27, 2016; 16-02837 - Canadian Red Cross Society's Immigration Detention Monitoring Program; 16-02849 -Standing Committee on Public Safety and National Security - Follow-up to Committee; 16-02981 - Meeting with Canada Post on August 24, 2016; 16-03183 - National Immigration Detention Program Governance; and 16-03235 –Deputy Minister meeting with the Public Services and Procurement Canada on Postal Modernization.

Les documents d’information à l’intention du président de l’Agence des services frontaliers du Canada : 16-02611 – Dossier de présentation pour l’exposé du ministre le 3 juin 2016, directives ministérielles concernant la sécurité nationale; 16-02657 – Cahier d’information au sujet de la législation sur le précontrôle; 16-02748 – Conférence téléphonique du sous-ministre avec le dirigeant principal des ressources humaines le 27 juin 2016; 16-02837 – Programme de suivi des conditions de détention des immigrants de la Société canadienne de la Croix-Rouge; 16-02849 – Comité permanent de la sécurité publique et nationale – Suivi à l’intention du comité; 16-02981 – Rencontre avec Postes Canada le 24 août 2016; 16-03183 – Gouvernance du programme en matière de détention liée à l’immigration; 16-03235 – Rencontre entre le sous-ministre et Services publics et Approvisionnement Canada au sujet de la modernisation des opérations postales.",A-2016-11808,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-13039,atip-files/CBSA ATIPS/CBSA_A-2016-13039.pdf,"The following Briefing Notes: 16-00476 - Mutual Recognition Arrangement Prioritization, Privacy, and Engagement with China; 16-00593 - Information Memo to the Vice President: Programs Engagement with China; 16-00617 - 13th Annual Canada/China Working Group on Law Enforcement; 16-00981 - President’s Office Tasking: For the Minister: Update on Work with China; 16-01683 - Memorandum on the Access to Information and Privacy Compliance and Backlog; 15-01917 - Operation Steel Border; 16-01947 - Small and/or Remote Ports of Entry Service Delivery Framework; 16-01948 - 2014-2015 Report on the Beyond the Border Action Plan Horizontal Initiative; 16-01950 - International to Domestic Baggage Connection Process; 16-02075 - Proposed Amendment to the Surveillance Policy; 16-02083 - For Approval: Federal Bureau of Investigation and Canada Border Services Agency Memorandum of Understanding Implementation; 16-02195 - Status of the Access to Information and Privacy’s Review of Transition Documents; 16-02538 CBSA - Trends Report - for 2015-2016; 16-02540 - Entry / Exit Technical Briefing Presentation; 16-02601 - For Information: Cabinet Affairs Questions on Detention; 16-02731 – The Canada Border Services Agency Trends Report, April 2016-2017; 16-02754 - For the President – Joint Border Strategy: Action Plan Update.

Les notes d’information suivantes : 16-00476 - Accord de reconnaissance mutuelle - Établissement des priorités, protection des renseignements personnels et engagement avec la Chine; 16-00593 - Note d’information au vice-président : Mobilisation des programmes avec la Chine; 16-00617 - 13e réunion annuelle du Groupe de travail Canada-Chine sur l’application de la loi; 16-00981 - Tâche du bureau du président : Pour le ministre : Mise à jour sur les travaux avec la Chine; 16-01683 - Note d’information sur la conformité et l’arriéré en matière d’accès à l’information et de protection des renseignements personnels; 15-01917 - Opération Steel Border; 16-01947 - Cadre de prestation de services pour les points d’entrée de petite taille et/ou éloignés; 16-01948 - Rapport sur l’initiative horizontale du Plan d’action Par-delà la frontière 2014-2015; 16-01950 - Processus de traitement des bagages lors de transferts d’un vol international à un vol intérieur; 16-02075 - Modification proposée à la Politique de surveillance; 16-02083 - Pour approbation : Mise en œuvre du protocole d’entente entre le Bureau fédéral des enquêtes et l’Agence des services frontaliers du Canada; 16-02195 - État d’avancement de l’examen des documents de transition sur l’accès à l’information et la protection des renseignements personnels; 16-02538 ASFC - Rapport sur les tendances - pour 2015-2016; 16-02540 - Exposé technique sur les entrées et les sorties; 16-02601 - Pour information : Questions des Affaires du Cabinet sur la détention; 16-02731 – Rapport sur les tendances de l’Agence des services frontaliers du Canada, avril 2016-2017; 16-02754 – Pour le président – Stratégie frontalière conjointe : Mise à jour sur le Plan d’action.",A-2016-13039,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-01,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-17126,atip-files/CBSA ATIPS/CBSA_A-2016-17126.pdf,"The security volume from the Canada Border Services Agency Screening Manual.

Le volume sur la sécurité tiré du Manuel de contrôle de l’Agence des services frontaliers du Canada.",A-2016-17126,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-07,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-00503,atip-files/CBSA ATIPS/CBSA_A-2017-00503.pdf,"A copy of the June 2013 standard operating procedures for lookouts.

Une copie des procédures normales d’exploitation de juin 2013 sur les avis de surveillance.",A-2017-00503,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-07,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-02530,atip-files/CBSA ATIPS/CBSA_A-2017-02530.pdf,"Records including emails, reports, and memoranda regarding the updates to the Canada Border Services Agency website on January 6, 2017, that included the “Be aware and declare” section. This includes: the specific reasons for undertaking these updates, how the updated content was chosen and approved, and how, when and by whom the initial decision to update was reached. Additionally any correspondence pertaining to if these activities were conducted in consultation with or at the request of the Minister of Public Safety and Emergency Preparedness.

Dossiers incluant les courriels, les rapports et les mémorandums concernant les mises à jour apportées au site Web de l’Agence des services frontaliers du Canada le 6 janvier 2017, notamment sur la section « Pensez-y et déclarez! ». Les renseignements demandés sont : les raisons précises ayant poussé à apporter ces modifications; comment le contenu mis à jour a été choisi et approuvé; et comment, quand et par qui la décision initiale de mettre à jour le site Web a été prise. De plus, si ces activités ont été réalisées en collaboration avec le ministre de la Sécurité publique et de la Protection civile ou à sa demande, toute correspondance à ce sujet.",A-2017-02530,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-05,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-04155,atip-files/CBSA ATIPS/CBSA_A-2017-04155.pdf,"Records prepared from February 1 to March 15, 2017, for the President of the Canada Border Services Agency, John Ossowski, on the subject of asylum seekers between ports of entry. This excludes emails.

Dossiers préparés du 1er février au 15 mars 2017 pour le président de l’Agence des services frontaliers du Canada, John Ossowski, au sujet des demandeurs d’asile entre les points d’entrée. Les courriels sont exclus.",A-2017-04155,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-06,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-04159,atip-files/CBSA ATIPS/CBSA_A-2017-04159.pdf,"Threat and risk assessment reports from December 1, 2016 to March 15, 2017 referencing asylum seekers.

Rapports sur l'évaluation des menaces et des risques, du 1er décembre 2016 au 15 mars 2017, portant sur les demadeurs d'asile.",A-2017-04159,Canada Border Services Agency | Agence des services frontaliers du Canada,2017-08,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-04461,atip-files/CBSA ATIPS/CBSA_A-2017-04461.pdf,"Records of email communication belonging to John Helsdon from January 20, 2017 to March 20, 2017, excluding records requiring consultations with the Privy Council Office and the Department of Justice. This includes whether or not there is an attachment to an e-mail, and the size of the attachment.

Dossiers de courriels appartenant à John Helsdon du 20 janvier au 20 mars 2017, à l’exclusion des dossiers nécessitant des consultations avec le Bureau du Conseil privé et le ministère de la Justice. Cela comprend la présence ou non d’une pièce jointe, ainsi que la taille de cette pièce jointe.",A-2017-04461,Canada Border Services Agency | Agence des services frontaliers du Canada,2022-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-04468,atip-files/CBSA ATIPS/CBSA_A-2017-04468.pdf,"Records of email records belonging to Nathan Dempster from January 20 to March 20, 2017, excluding records requiring consultations with the Privy Council Office or the Department of Justice.

Dossiers de courriels appartenant à Nathan Dempster du 20 janvier au 20 mars 2017, à l’exclusion des dossiers nécessitant des consultations avec le Bureau du Conseil privé ou le ministère de la Justice.",A-2017-04468,Canada Border Services Agency | Agence des services frontaliers du Canada,2022-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-05111,atip-files/CBSA ATIPS/CBSA_A-2017-05111.pdf,"Statistics from January 1, 2006 to March 29, 2017, concerning all immigrants detained and released by the Canada Border Services Agency with all data fields that are publicly releasable including: case number, full name, date of birth, address, gender, nationality, grounds for detention, detention location, date detained, date released, conditions imposed upon release, bond paid, associated charges, transfer information, accompanying family, number of detention reviews, detention review dates, detention review outcomes, admissibility hearing and current status of detainee.

Statistiques du 1er janvier 2006 au 29 mars 2017 concernant tous les immigrants détenus et libérés par l’Agence des services frontaliers du Canada, avec tous les champs de données qui peuvent être rendus publics, notamment : numéro de dossier, nom complet, date de naissance, adresse, sexe, nationalité, motifs de détention, lieu de détention, date de détention, date de libération, conditions imposées lors de la libération, caution versée, frais associés, informations sur le transfert, membres de la famille qui accompagnent le détenu, nombre de contrôles de détention, dates des contrôles de détention, résultats des contrôles de détention, enquête et statut actuel du détenu.",A-2017-05111,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-06,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-05140,atip-files/CBSA ATIPS/CBSA_A-2017-05140.pdf,"Statistics from January 1, 2006 to March 29, 2017, concerning all immigrants who have been given removal orders by the Canada Border Services Agency, with the following data fields: case number, full name, date of birth, address, type of removal order, charges, offence category, convictions, summary of incidents, filing date, judges’ decision or administrative closure, and deportation status.

Les statistiques pour la période du 1er janvier 2006 au 29 mars 2017 concernant tous les immigrants qui ont fait l’objet de mesures de renvoi prises par l’Agence des services frontaliers du Canada avec les champs de données suivants : numéro de dossier, nom complet, date de naissance, adresse, type de mesure de renvoi, accusations, catégorie d’infraction, condamnations, résumé des incidents, date de dépôt, décision des juges ou clôture administrative et l’état des dossiers d’expulsion.",A-2017-05140,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-07,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-05778,atip-files/CBSA ATIPS/CBSA_A-2017-05778.pdf,"Briefing note 17-00503 from February 10, 2017 - Canada Border Services Agency – Immigration Refugee and Citizenship Canada Electronic Travel Authorization / Interactive Advance Passenger Information, Deputy Minister Strategy meeting.

Note d’information 17-00503 du 10 février 2017 — Agence des services frontaliers du Canada — information interactive préalable sur les voyageurs et autorisation de voyage électronique d’Immigration, Réfugiés et Citoyenneté Canada, réunion du sous-ministre sur la stratégie.",A-2017-05778,Canada Border Services Agency | Agence des services frontaliers du Canada,2019-12,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-05780,atip-files/CBSA ATIPS/CBSA_A-2017-05780.pdf,"Briefing Note: 17-00624 - Management Accountability Framework, February 2017.

Notes d’information : 17-00624 – Cadre de responsabilisation de gestion, février 2017.",A-2017-05780,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-06280,atip-files/CBSA ATIPS/CBSA_A-2017-06280.pdf,"Records including briefing notes, correspondence, slide decks and emails from January 1, 2010 to April 21, 2017, involving the relationship between the Vancouver Police Department and the Canada Border Services Agency on matters related to Immigration Enforcement. This excludes Memorandum of Understandings and records that require consultation with third parties.

Dossiers qui comprennent des notes d’information, de la correspondance, des présentations et des courriels, du 1er janvier 2010 au 21 avril 2017, concernant la relation entre le service de police de Vancouver et l’Agence des services frontaliers du Canada sur des questions liées à l’exécution de la loi en matière d’immigration. Cela exclut les protocoles d’entente et les dossiers qui doivent faire l’objet de consultations avec des tiers.",A-2017-06280,Canada Border Services Agency | Agence des services frontaliers du Canada,2019-12,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-08723,atip-files/CBSA ATIPS/CBSA_A-2017-08723.pdf,"The briefing book prepared for the President of the Canada Border Services Agency’s appearance at the May 15, 2017, meeting of the House of Commons committee on Public Safety and National Security. This excludes any Cabinet confidences.

Le cahier d’information préparé pour la comparution du président de l’Agence des services frontaliers du Canada à la réunion du Comité de la sécurité publique et nationale de la Chambre des communes, tenue le 15 mai 2017. La demande exclut tous les documents confidentiels du Cabinet.",A-2017-08723,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2017-08986,atip-files/CBSA ATIPS/CBSA_A-2017-08986.pdf,"Briefing materials prepared for the Minister Public Safety and Emergency Preparedness and his staff from November 1, 2016 to June 12, 2017, regarding the number of asylum claimants who entered Canada illegally. This includes information on the claimants including the non-official border crossing point used, their country of origin, how many were detained pending their Immigration and Refugee Board hearing, and for those not detained the communities they settled in.

Documents d’information préparés pour le ministre de la Sécurité publique et de la Protection civile et son personnel du 1er novembre 2016 au 12 juin 2017 faisant état du nombre de demandeurs d’asile qui sont entrés illégalement au Canada. Comprend notamment l’information suivante sur les demandeurs d’asile : point de passage frontalier non officiel utilisé, pays d’origine, nombre de demandeurs détenus en attendant leur audience devant la Commission de l’immigration et du statut de réfugié et collectivités dans lesquelles les demandeurs non détenus se sont installés.",A-2017-08986,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-09,TRUE,TRUE,text,TRUE,TRUE
